frame,gt_exists,gt_iou_raw,gt_iou_final,raw_candidate_count,fallback_candidate_count,raw_best_score,fallback_best_score,output_score,output_source,tracker_active,tracker_gap,primary_ms,fallback_ms,tracking_ms,total_ms
36,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,112.92634500205168,0.003954999556299299,0.008388000424019992,124.90996499764151
37,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,113.74689100193791,0.0032650023058522493,0.008386999979848042,124.51216399858822
38,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,112.0576550019905,0.0035760022001340985,0.008095001248875633,124.27042000126676
39,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,114.3969910008309,0.003410998033359647,0.008123999577946961,125.42003799899248
40,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,111.09745299836504,0.0037799982237629592,0.00841799919726327,123.4002720011631
41,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,112.64174099778756,0.003836998075712472,0.007987000572029501,123.37608400048339
42,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,110.80073600169271,0.003954999556299299,0.009051997039932758,122.79314400075236
43,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,114.91559599744505,0.003806002496276051,0.008345999958692119,125.704838999809
44,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,118.55127099988749,0.004035002348246053,0.00883299799170345,130.4951970014372
45,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,126.23443499978748,0.004345998604549095,0.008840001100907102,137.0565010001883
46,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,112.50379000193789,0.0035430020943749696,0.008160997822415084,124.21494700174662
47,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,113.72941300214734,0.003975997969973832,0.009516999853076413,124.36655200144742
48,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,112.93932199987466,0.003325996658531949,0.008762002835283056,124.98658000185969
49,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,112.71378399760579,0.0033910000638570637,0.00816100146039389,123.52562899832265
50,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,110.37393099832116,0.0039049991755746305,0.008383998647332191,122.64825600141194
51,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,114.13434299902292,0.0034719996619969606,0.008233000698965043,125.11454900231911
52,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,114.69644600219908,0.0035489974834490567,0.00860799991642125,126.69530600032886
53,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,116.29459899995709,0.003815999662037939,0.008322000212501734,127.23347099745297
54,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,112.18181000003824,0.0038770012906752527,0.008065002475632355,124.47304400120629
55,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,114.74789999920176,0.0032710013329051435,0.007533999450970441,125.70170499748201
56,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,112.20366599809495,0.0046240020310506225,0.008762999641476199,124.42254400230013
57,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,115.2500099997269,0.003520999598549679,0.008009999874047935,126.05169500238844
58,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,111.96409200056223,0.003426997864153236,0.008958999387687072,124.30650600072113
59,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,117.16148500272539,0.003529999958118424,0.008208000508602709,128.433653000684
60,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,114.25042699920596,0.003564000508049503,0.008554001396987587,126.26748800175847
61,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,127.91409000055864,0.003326000296510756,0.007711001671850681,139.29408700278145
