frame,gt_exists,gt_iou_raw,gt_iou_final,raw_candidate_count,fallback_candidate_count,raw_best_score,fallback_best_score,output_score,output_source,tracker_active,tracker_gap,primary_ms,fallback_ms,tracking_ms,total_ms
1,True,0.8300954553820846,0.8300954553820846,1,0,0.8125157356262207,0.0,0.8125157356262207,rfdetr,True,0,115.74346800261992,0.0,0.04570099918055348,127.5449069980823
2,True,0.8300954553820846,0.8300954553820846,1,0,0.8125157356262207,0.0,0.8125157356262207,rfdetr,True,0,114.6241189999273,0.0,0.14745000225957483,126.46773700180347
3,True,0.0,0.3698417091873596,0,3,0.0,0.3083984851837158,0.25888770818710327,gdino_fallback,True,0,116.92027899698587,278.79391799797304,279.0235680004116,407.41051900113234
4,True,0.0,0.9226846110633811,0,1,0.0,0.21750368177890778,0.21750368177890778,gdino_fallback,True,0,129.5341709992499,280.3259829997842,280.618761000369,421.72148399913567
5,True,0.0,0.0,0,0,0.0,0.0,0.0,none,True,1,117.51517800075817,280.51341800164664,280.5572260003828,409.41203799957293
6,True,0.0,0.0,0,1,0.0,0.30352529883384705,0.0,none,True,2,112.42294100156869,278.09022400106187,278.2720060022257,402.34656300162897
7,True,0.0,0.0,1,0,0.5887285470962524,0.0,0.0,none,True,3,114.41835899677244,281.5244890007307,281.66142199916067,407.6094279989775
8,True,0.16321510974127568,0.0,1,0,0.6872588992118835,0.0,0.0,none,False,0,105.83848999885959,0.0025750014174263924,0.17681499957689084,117.80060000091908
9,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,116.27685100029339,0.003731001925189048,0.010666000889614224,127.78356300259475
10,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,118.84408700279891,0.0026000016077887267,0.00626499968348071,131.2143550021574
11,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,111.66840900114039,0.0026080015231855214,0.0068640001700259745,122.95014000119409
12,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,114.68690800029435,0.0024330001906491816,0.006219997885636985,126.31509100174299
13,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,114.19165299957967,0.0025469998945482075,0.006310998287517577,125.5499430008058
14,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,111.91659500036621,0.002534998202463612,0.00658000135445036,123.31928899948252
15,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,111.32149900004151,0.0024029977794270962,0.006094000127632171,122.90913600008935
16,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,111.06725300123799,0.002549997589085251,0.006195998139446601,122.6457249977102
17,True,0.0,0.0,1,0,0.8339677453041077,0.0,0.8339677453041077,rfdetr,True,0,111.36793799960287,0.0,0.04051200085086748,122.99939400327276
18,True,0.030912560843720977,0.030912560843720977,1,0,0.7740709185600281,0.0,0.7740709185600281,rfdetr,True,0,118.02570300278603,0.0,0.1464990018575918,129.63235899951542
19,True,0.0,0.6189880530346555,0,1,0.0,0.25851312279701233,0.25851312279701233,gdino_fallback,True,0,111.3595599999826,285.876546997315,286.12372700081323,408.8939430002938
20,True,0.0,0.3435362561096488,0,1,0.0,0.4733985364437103,0.4733985364437103,gdino_fallback,True,0,105.9597940002277,277.6469829987036,277.9993000003742,395.5490420012211
21,True,0.0,0.7547616719587233,0,1,0.0,0.5060994029045105,0.5060994029045105,gdino_fallback,True,0,113.35266199967009,289.31590499996673,289.6124420003616,414.1418479994172
22,True,0.0,0.0,0,0,0.0,0.0,0.0,none,True,1,109.74398599864799,278.33885099971667,278.3780989993829,399.98082400052226
23,True,0.0,0.0,0,0,0.0,0.0,0.0,none,True,2,115.07385799995973,281.46421700148494,281.5046789983171,408.37787999771535
24,True,0.0,0.0,0,0,0.0,0.0,0.0,none,True,3,109.58043199934764,277.0398680004291,277.076993999799,398.2767479974427
25,True,0.0,0.0,0,0,0.0,0.0,0.0,none,True,4,113.51538799863192,279.7813379984291,279.81957600059104,404.6462619990052
26,True,0.0,0.0,0,0,0.0,0.0,0.0,none,True,5,109.33637199923396,277.53666799981147,277.59822300140513,399.30157200069516
27,True,0.0,0.0,0,0,0.0,0.0,0.0,none,True,6,110.726364000584,280.2893860025506,280.3778100023919,402.77298399814754
28,True,0.0,0.0,0,0,0.0,0.0,0.0,none,True,7,105.48717899655458,275.29859700007364,275.3365859971382,392.4947779996728
29,True,0.0,0.0,0,0,0.0,0.0,0.0,none,True,8,116.09582399978535,281.5221239980019,281.59858800063375,409.0384390001418
30,True,0.0,0.0,0,0,0.0,0.0,0.0,none,True,9,111.14758000258007,277.46581500105094,277.5393490010174,400.84139299870003
31,True,0.0,0.0,0,0,0.0,0.0,0.0,none,True,10,116.31871200006572,281.45134299847996,281.5260280003713,409.1943050007103
32,True,0.0,0.1954265163037156,0,1,0.0,0.25963789224624634,0.25963789224624634,gdino_fallback,True,0,106.37118400336476,277.4091690007481,277.7588470016781,397.40440100285923
33,True,0.0,0.18350132030866642,0,1,0.0,0.45534995198249817,0.45534995198249817,gdino_fallback,True,0,115.36083099781536,280.2636260021245,280.5809429992223,407.1946200019738
34,True,0.0,0.0,0,0,0.0,0.0,0.0,none,True,1,109.97914399922593,278.32671699798084,278.36697100065066,399.9227879976388
35,True,0.0,0.31378938524376765,0,1,0.0,0.18010666966438293,0.18010666966438293,gdino_fallback,True,0,112.41155799871194,281.6733159997966,282.0147239981452,405.7416549985646
36,True,0.0,0.0,0,0,0.0,0.0,0.0,none,True,1,108.71828800009098,279.115006000211,279.1899689982529,399.51023399771657
37,True,0.0,0.0,0,0,0.0,0.0,0.0,none,True,2,116.10678400029428,281.0099439993792,281.08411300127045,408.65097300047637
38,True,0.0,0.0,0,0,0.0,0.0,0.0,none,True,3,108.74183399937465,277.6466969989997,277.72128300057375,398.29292699869256
39,True,0.0,0.0,0,0,0.0,0.0,0.0,none,True,4,113.11557099907077,280.7342910018633,280.77509299691883,405.59811200000695
40,True,0.0,0.0,1,0,0.6388381719589233,0.0,0.0,none,True,5,108.0883869981335,277.90323000226635,278.03508500073804,398.33034399998724
