clip,n_gt,n_pred,n_matched,recall,precision,mean_start_error,mean_end_error,frame_f1
MACRO_AVG,2.1176,1.5882,1.5882,0.8588,0.8824,26.8893,33.634,0.6135
MACRO_AVG,2.0667,1.8,1.8,0.9733,1.0,26.8893,33.634,0.6953
