frame,gt_exists,gt_iou_raw,gt_iou_final,raw_candidate_count,crop_candidate_count,raw_best_score,crop_best_score,output_score,output_source,tracker_active,tracker_gap,detector_ms,crop_ms,tracking_ms,total_ms
1,True,0.0,0.0,3,0,0.3312278985977173,0.0,0.3312278985977173,detector,True,0,3482.45813199901,0.0,0.060009999288013205,3498.4862509991217
2,True,0.0,0.0,3,0,0.31541958451271057,0.0,0.31541958451271057,detector,True,0,474.53784299977997,0.0,6.638506001763744,492.9466350004077
3,True,0.854392159319408,0.0,4,0,0.30259713530540466,0.0,0.3019792437553406,detector,True,0,441.1078979992453,0.0,0.2563189991633408,453.4323130010307
4,True,0.8472199197639335,0.0,3,0,0.3039383590221405,0.0,0.25515803694725037,detector,True,0,439.13634000091406,0.0,0.19927500034100376,451.24135599871806
5,True,0.808838023046506,0.0,2,1,0.2760069966316223,0.5781505107879639,0.5781505107879639,crop,True,0,442.76638599876605,298.0411410007946,298.33063800106174,752.921579998656
6,True,0.858733523927384,0.0,3,2,0.28279000520706177,0.5616957545280457,0.5616957545280457,crop,True,0,439.42543899902375,295.01300399897445,295.31821700038563,746.3236860003235
7,True,0.8597942164172228,0.0,1,1,0.23988313972949982,0.5777931809425354,0.5777931809425354,crop,True,0,437.62412700016284,297.49051299950224,297.7705479988799,746.9110949987225
8,True,0.8411029228133148,0.0,2,1,0.26416850090026855,0.4632014036178589,0.4632014036178589,crop,True,0,447.14030000068306,296.51292599919543,296.8252950013266,755.4719359995943
9,True,0.8499171882175086,0.0,1,1,0.2523840367794037,0.19574777781963348,0.19574777781963348,crop,True,0,438.799083000049,297.2663330001524,297.5489969994669,747.7192789992841
10,True,0.6778324197153507,0.0,1,1,0.25478699803352356,0.19544048607349396,0.19544048607349396,crop,True,0,437.7682089998416,295.8824289999029,296.19113199987623,745.6721569997171
11,True,0.6567301690756661,0.0,1,0,0.2436424344778061,0.0,0.16612441316246987,bridge,True,1,435.7608339996659,294.27030899933015,294.4122039989452,742.0348470004683
12,True,0.6695749389788017,0.0,1,0,0.24274376034736633,0.0,0.14120575118809936,bridge,True,2,438.924711999789,296.3241500001459,296.4623930001835,747.1482239998295
13,True,0.0,0.0,1,0,0.26740819215774536,0.0,0.12002488850988446,bridge,True,3,437.87336200148275,294.0205149989197,294.1524660000141,743.8365460002387
14,True,0.0,0.0,1,0,0.18111833930015564,0.0,0.10202115523340179,bridge,True,4,444.80621900038386,293.5808250003902,293.714119001379,750.0069750003604
15,True,0.0,0.0,0,1,0.0,0.31510335206985474,0.31510335206985474,crop,True,0,435.60182800138136,297.92734799957543,298.2303239987232,745.2800760001992
16,True,0.0,0.0,0,0,0.0,0.0,0.26783784925937654,bridge,True,1,437.7980770004797,296.0657569983596,296.23544400055835,745.2883490004751
17,True,0.0,0.0,0,0,0.0,0.0,0.22766217187047003,bridge,True,2,437.0098639992648,295.5979230009689,295.76749599982577,744.0078910003649
18,True,0.0,0.0,2,1,0.27415698766708374,0.20561504364013672,0.20561504364013672,crop,True,0,442.9578589988523,297.68207899905974,297.97237099955964,752.109836001182
19,True,0.5412385906983217,0.0,3,0,0.2690374255180359,0.0,0.1747727870941162,bridge,True,1,439.53850899924873,297.6060389992199,297.74684500080184,748.8623959998222
20,True,0.0,0.0,0,0,0.0,0.0,0.14855686902999876,bridge,True,2,436.31802500021877,295.3804720000335,295.54539099990507,743.1481340008759
21,True,0.28801796549611514,0.0,1,0,0.3086068332195282,0.0,0.12627333867549895,bridge,True,3,440.58880800002953,296.51583099985146,296.6480200011574,748.5474630011595
22,True,0.053741733741936436,0.0,1,0,0.25367605686187744,0.0,0.1073323378741741,bridge,True,4,441.77176500124915,295.87981900112936,296.0125209992839,748.8679760008381
23,True,0.0,0.0,1,1,0.24562746286392212,0.2538610100746155,0.2538610100746155,crop,True,0,438.06032199972833,296.3471240000217,296.62476100020285,746.2165859997185
24,True,0.0,0.0,2,0,0.30964964628219604,0.0,0.21578185856342316,bridge,True,1,437.959040998976,294.86945499957073,295.00709000058123,743.909568998788
25,True,0.7213003993987045,0.0,1,1,0.48355695605278015,0.20898497104644775,0.20898497104644775,crop,True,0,439.37844399988535,296.06301599960716,296.34375299974636,747.0754559999477
26,True,0.6610341065295487,0.0,2,1,0.4906703233718872,0.2040245532989502,0.2040245532989502,crop,True,0,437.709989000723,295.2095400014514,295.48751000038465,743.8025359988387
27,True,0.46311864777583417,0.0,1,1,0.48290157318115234,0.18713268637657166,0.18713268637657166,crop,True,0,437.58132999937516,294.776106999052,295.0752710003144,744.4027709989314
28,True,0.30897737221657073,0.0,4,0,0.4830387830734253,0.0,0.1590627834200859,bridge,True,1,438.58042399915576,294.9673299990536,295.1128349995997,744.508792000488
29,True,0.27956517103688494,0.0,2,0,0.4937632977962494,0.0,0.13520336590707302,bridge,True,2,441.9965309989493,295.47656000067946,295.6133879997651,748.7267890010116
