frame,gt_exists,gt_iou_raw,gt_iou_final,raw_candidate_count,fallback_candidate_count,raw_best_score,fallback_best_score,output_score,output_source,tracker_active,tracker_gap,primary_ms,fallback_ms,tracking_ms,total_ms
1,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,280.3573100009089,0.004108998837182298,0.009108000085689127,289.77471599864657
2,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,156.3610310004151,0.0034700005926424637,0.008487999366479926,165.59184399920923
3,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,265.2190940007131,0.003647999619715847,0.008864000847097486,274.7528809995856
4,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,247.4535540004581,0.003973000275436789,0.008339000487467274,258.10575499963306
5,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,212.62989199931326,0.00429600004281383,0.008839999281917699,222.77692499847035
6,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,276.41679299995303,0.0033899996196851134,0.008307999451062642,289.34952300005534
7,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,164.25110199998016,0.0024169985408661887,0.006051999662304297,173.71423599979607
8,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,257.87960100024065,0.002787000994430855,0.006401000064215623,268.63163800044276
9,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,253.31833800009917,0.0021770010789623484,0.006100000973674469,262.75090699891734
10,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,207.86472500003583,0.003130000550299883,0.008517001333530061,218.37558900006115
11,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,264.3003659995884,0.002929000402218662,0.006357000529533252,273.66430099937133
12,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,180.34269999952812,0.002291999408043921,0.006152000423753634,190.83232699995278
13,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,272.3185180002474,0.0025980007194448262,0.006597998435609043,281.4499780015467
14,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,252.88511800135893,0.00356700002157595,0.008466000508633442,263.4183699992718
15,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,215.40856700084987,0.002255999788758345,0.0054749998525949195,224.3353739995655
16,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,218.4091039998748,0.003372000719537027,0.008347000402864069,229.04079299951263
17,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,207.24991700080864,0.0023160009732237086,0.006084999768063426,216.83737199964526
18,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,256.37807300154236,0.0023070006136549637,0.006484999175881967,266.7212769993057
19,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,177.3388880010316,0.002615000994410366,0.007021999408607371,186.20857300084026
20,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,206.79304800069076,0.002003000190597959,0.0056129993026843295,217.13217800061102
21,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,277.6339370011556,0.0021920004655839875,0.006204001692822203,286.43107999960193
22,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,219.69532599905506,0.002527000106056221,0.006096999641158618,230.2217180003936
23,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,257.2540229994047,0.002200000380980782,0.006154999937280081,266.0742339994613
24,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,206.4714810003352,0.002079001205856912,0.006354999641189352,216.54113299882738
25,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,266.47246699940297,0.002517999746487476,0.006943999323993921,275.72250599951076
26,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,181.08406700048363,0.0029159982659621164,0.007373999324045144,191.07256899951608
27,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,263.6662950008031,0.0025619992811698467,0.006051999662304297,272.9814919985074
28,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,255.12232199980645,0.0021470004867296666,0.006424999810406007,265.1694870000938
29,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,205.8995049992518,0.0023960001271916553,0.0063779989432077855,214.72327599985874
30,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,261.33373999982723,0.0024229993869084865,0.005796000550617464,271.40069699999003
31,True,0.12324954124643811,0.12324954124643811,1,0,0.8783113956451416,0.0,0.8783113956451416,rfdetr,True,0,193.9419190002809,0.0,0.04040199928567745,202.83920600013516
32,True,0.5836948449313927,0.5836948449313927,1,0,0.8842312097549438,0.0,0.8842312097549438,rfdetr,True,0,271.5881789990817,0.0,0.14834800094831735,281.9534099999146
33,True,0.0,0.0,0,0,0.0,0.0,0.0,none,True,1,154.27222600010282,623.5794490003173,623.6172249991796,786.6531919989939
34,True,0.0,0.0,0,0,0.0,0.0,0.0,none,True,2,155.77173000019684,603.4485479995055,603.4888769991085,768.2719080003153
35,True,0.0,0.0,0,0,0.0,0.0,0.0,none,True,3,186.16332199962926,591.6877529998601,591.7283719991246,786.828615999184
36,True,0.0,0.0,0,0,0.0,0.0,0.0,none,True,4,188.54717999965942,514.8494570003095,514.8886900005891,712.4648329991032
37,True,0.0,0.0,0,0,0.0,0.0,0.0,none,True,5,247.66514099974302,483.2080150008551,483.2466529987869,739.8885820002761
38,True,0.0,0.0,0,0,0.0,0.0,0.0,none,True,6,261.225315000047,457.7521549999801,457.79376099926594,727.9184069993789
39,True,0.0,0.0,0,0,0.0,0.0,0.0,none,True,7,271.64518300014606,452.07995800046774,452.1653440006048,732.7779839997675
40,True,0.0,0.0,0,0,0.0,0.0,0.0,none,True,8,266.02804599860974,436.52545099939744,436.60083299982944,711.5849319998233
41,True,0.0,0.0,0,0,0.0,0.0,0.0,none,True,9,271.3959510001587,429.0754609992291,429.1493119999359,709.547828999348
42,True,0.0,0.0,0,0,0.0,0.0,0.0,none,True,10,253.01747400044405,413.7443670006178,413.78233800060116,676.0649619991455
43,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,276.81313600078283,413.585072999922,413.72255500027677,700.0605529992754
44,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,277.6469520013052,0.002687000232981518,0.007594000635435805,287.3241090001102
45,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,230.5536359999678,0.0033439991966588423,0.007986000127857551,239.77173599996604
46,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,202.8385649991833,0.0033559990697540343,0.008241000614361838,214.43800199995167
47,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,259.3161010008771,0.003589999323594384,0.008883000191417523,269.1404720007995
48,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,176.27897300008044,0.0037109984987182543,0.007990000085555948,187.19522699939262
49,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,213.2516809997469,0.002377000782871619,0.006133999704616144,222.60620600172842
50,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,269.19238600021345,0.004708999767899513,0.009712999599287286,280.12590700018336
51,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,222.20614199977717,0.0032199986890191212,0.008064000212471,231.68348299986974
52,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,248.45047899907513,0.004155001079197973,0.008959999831859022,259.55603500005964
53,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,146.1918439999863,0.0036490000638877973,0.008564000381738879,155.58397200038598
54,True,0.0,0.0,0,0,0.0,0.0,0.0,none,False,0,273.9820160004456,0.003790000846493058,0.008492999768350273,285.5660570003238
