frame,gt_exists,gt_iou_raw,gt_iou_final,raw_candidate_count,fallback_candidate_count,raw_best_score,fallback_best_score,output_score,output_source,tracker_active,tracker_gap,primary_ms,fallback_ms,tracking_ms,total_ms
1,True,0.7415420926283197,0.7415420926283197,1,0,0.8671860694885254,0.0,0.8671860694885254,rfdetr,True,0,152.5451189991145,0.0,0.041740999222383834,162.31661999881908
2,True,0.6982886586137571,0.6982886586137571,1,0,0.8682549595832825,0.0,0.8682549595832825,rfdetr,True,0,280.2547280007275,0.0,0.1465780005673878,291.27711500041187
3,True,0.692635711748979,0.692635711748979,1,0,0.8514318466186523,0.0,0.8514318466186523,rfdetr,True,0,219.17565500007186,0.0,0.14497899974230677,229.10890500133974
4,True,0.6246222916511681,0.6246222916511681,1,0,0.8694571852684021,0.0,0.8694571852684021,rfdetr,True,0,212.72060400042392,0.0,0.20632199993997347,223.92010499970638
5,True,0.0,0.0,0,0,0.0,0.0,0.0,none,True,1,281.0805070002971,435.93098299970734,435.9696179999446,726.7303250009718
6,True,0.0,0.0,0,0,0.0,0.0,0.0,none,True,2,279.00880699962727,413.2061030013574,413.24341900144645,701.9321039988426
7,True,0.0,0.0,0,0,0.0,0.0,0.0,none,True,3,268.81499699993583,425.82625999966695,425.8680090006237,704.4359449992044
8,True,0.0,0.0,0,0,0.0,0.0,0.0,none,True,4,279.1570359986508,422.45707000074617,422.4976149998838,711.1812370003463
9,True,0.0,0.0,0,0,0.0,0.0,0.0,none,True,5,280.6625310004165,447.0252660012193,447.06397200025094,737.7959669993288
10,True,0.0,0.0,0,0,0.0,0.0,0.0,none,True,6,280.5487700006779,453.47914999911154,453.51775900053326,743.4764230001747
11,True,0.0,0.0,0,0,0.0,0.0,0.0,none,True,7,276.06867800022883,458.93202000115707,458.98118799959775,744.8724699988816
12,True,0.0,0.0,0,0,0.0,0.0,0.0,none,True,8,273.7537359989801,462.07416499964893,462.11244100049953,745.2693459999864
13,True,0.0,0.0,0,0,0.0,0.0,0.0,none,True,9,282.0089850010845,450.9967089998099,451.0345469989261,742.7985109989095
