frame,gt_exists,gt_iou_raw,gt_iou_final,raw_candidate_count,crop_candidate_count,raw_best_score,crop_best_score,output_score,output_source,tracker_active,tracker_gap,detector_ms,crop_ms,tracking_ms,total_ms
1,True,0.0,0.0,4,0,0.2927974760532379,0.0,0.2927974760532379,detector,True,0,619.1500759996416,0.0,0.12025700016238261,630.6684539995331
2,True,0.0,0.0,4,0,0.3408142030239105,0.0,0.3408142030239105,detector,True,0,770.2988050004933,0.0,0.26365700068708975,781.6972450000321
3,True,0.0,0.0,4,0,0.3529819846153259,0.0,0.3270232081413269,detector,True,0,603.1130730007135,0.0,0.24735899933148175,614.2151710009784
4,True,0.0,0.0,2,0,0.3711366057395935,0.0,0.3648906946182251,detector,True,0,617.7800909990765,0.0,0.2134930000465829,629.3517710000742
5,True,0.0,0.0,3,0,0.35711899399757385,0.0,0.35711899399757385,detector,True,0,766.0394689992245,0.0,0.2670199992280686,777.4862869991921
6,True,0.0,0.0,2,0,0.4019224941730499,0.0,0.4019224941730499,detector,True,0,601.071356999455,0.0,0.21324299996194895,613.5962160005874
7,True,0.7180050898581131,0.0,3,0,0.32648614048957825,0.0,0.24113182723522186,detector,True,0,803.2557149999775,0.0,0.2606289999675937,814.2996879996645
8,True,0.0,0.0,2,0,0.30611205101013184,0.0,0.30611205101013184,detector,True,0,601.8636940007127,0.0,0.21482299962372053,613.6728149995179
9,True,0.0,0.0,6,0,0.3312278985977173,0.0,0.3312278985977173,detector,True,0,610.5115380014468,0.0,0.3190610004821792,621.9241569997394
10,True,0.0,0.0,3,0,0.4007493853569031,0.0,0.4007493853569031,detector,True,0,786.0667090008064,0.0,0.21586700131592806,809.1098299992154
11,True,0.0,0.0,3,0,0.3770817816257477,0.0,0.3770817816257477,detector,True,0,749.2508689992974,0.0,0.2290479988005245,760.3949879994616
12,True,0.7087292352029176,0.0,4,0,0.36817848682403564,0.0,0.3143661916255951,detector,True,0,745.9852219999448,0.0,0.253526999586029,757.8182479992392
13,True,0.8249430758901827,0.0,4,0,0.40768706798553467,0.0,0.3443332016468048,detector,True,0,610.1577509998606,0.0,0.3788800004258519,621.627055999852
14,True,0.7581628987377996,0.0,6,0,0.47285082936286926,0.0,0.24762336909770966,detector,True,0,761.7381019990717,0.0,0.27383599990571383,773.7004280006659
15,True,0.7095627316783035,0.0,4,0,0.4468265771865845,0.0,0.34400254487991333,detector,True,0,744.5398839990958,0.0,0.29729099878750276,755.6453540000803
16,True,0.6873423915313606,0.0,4,0,0.4579850435256958,0.0,0.3410336375236511,detector,True,0,794.2817759994796,0.0,0.22876300135976635,805.5950520010811
