frame,gt_exists,gt_iou_raw,gt_iou_final,raw_candidate_count,crop_candidate_count,raw_best_score,crop_best_score,output_score,output_source,tracker_active,tracker_gap,detector_ms,crop_ms,tracking_ms,total_ms
1,True,0.0,0.0,3,0,0.37022536993026733,0.0,0.37022536993026733,detector,True,0,446.85339699935867,0.0,0.07349699990299996,457.58613500038336
2,True,0.0,0.0,1,0,0.2538610100746155,0.0,0.2538610100746155,detector,True,0,447.2586259998934,0.0,0.1981170007638866,462.4073720005981
3,True,0.0,0.0,0,2,0.0,0.3093366026878357,0.18550412356853485,crop,True,0,444.2663530007849,296.03011600011087,296.35258000053,751.4844289999019
4,True,0.0,0.0,0,3,0.0,0.23039987683296204,0.15767850503325462,bridge,True,1,440.3482650013757,296.61088899956667,296.83042999931786,747.9824049987656
5,True,0.0,0.0,0,1,0.0,0.18922126293182373,0.13402672927826642,bridge,True,2,440.82147699919005,296.5953790007916,296.7700049994164,748.7765290006791
6,True,0.3778896041952955,0.0,1,0,0.18126320838928223,0.0,0.11392271988652646,bridge,True,3,441.059367998605,296.0958009989554,296.2307870002405,748.3290540003509
7,True,0.0,0.0,1,0,0.21436232328414917,0.0,0.21436232328414917,detector,True,0,436.56089800060727,0.0,0.19650899957923684,447.8147950012499
8,True,0.0,0.0,2,0,0.38242971897125244,0.0,0.38242971897125244,detector,True,0,449.18759199936176,0.0,0.20021800082759,464.37626499937323
9,True,0.41214113712446016,0.0,2,0,0.3362220823764801,0.0,0.26626187562942505,detector,True,0,451.4954589994886,0.0,0.20718100131489336,462.5799419991381
10,True,0.2962351491341499,0.0,1,1,0.30528295040130615,0.19238758087158203,0.19238758087158203,crop,True,0,451.6739830014558,299.0275960000872,299.3064330003108,766.4324159995886
11,True,0.3696529925064289,0.0,2,0,0.26076579093933105,0.0,0.16352944374084472,bridge,True,1,442.86210000063875,297.27824899964617,297.4164629995357,750.73948499994
12,True,0.0,0.0,0,1,0.0,0.29818472266197205,0.29818472266197205,crop,True,0,441.99007699899084,295.51327800072613,295.8146940000006,748.3305080004357
13,True,0.0,0.0,3,1,0.2943163812160492,0.18772760033607483,0.25345701426267625,bridge,True,1,439.31290399996215,297.4167730008048,297.5607630014565,746.9768470000417
