sequence,frames_total,gt_frames,raw_pred_frames,final_pred_frames,raw_eval_detections,raw_tp,raw_fp,raw_fn,raw_precision,raw_recall,raw_mean_iou,final_eval_detections,final_tp,final_fp,final_fn,final_precision,final_recall,final_mean_iou,crop_recoveries,detector_ms_avg,crop_ms_avg,tracking_ms_avg,total_ms_avg,runtime_fps
SNMOT-109,750,725,742,740,742,416,326,309,0.5606469002695418,0.5737931034482758,0.6705981597744157,740,440,300,285,0.5945945945945946,0.6068965517241379,0.6669663634586233,30,771.4639565626845,51.95771859066857,52.286502307990304,835.5105270800026,1.1968730106787118
SNMOT-112,750,740,745,743,745,252,493,488,0.338255033557047,0.34054054054054056,0.7357678479090374,743,298,445,442,0.40107671601615075,0.4027027027027027,0.7238810058886217,173,430.48415769335406,76.62324555335847,76.93392988263076,517.048708546623,1.9340537621898513
SNMOT-128,750,622,678,681,678,373,305,249,0.5501474926253688,0.5996784565916399,0.7120090181996641,681,326,355,296,0.4787077826725404,0.5241157556270096,0.7171199902473907,177,503.77167323599133,134.47340911865953,134.7663026573306,649.8390137400153,1.53884266542371
SNMOT-143,750,735,710,709,710,292,418,443,0.4112676056338028,0.39727891156462586,0.7008438496839858,709,301,408,434,0.4245416078984485,0.4095238095238095,0.6942265580061837,104,891.2007751159448,185.65300880133873,186.05100330269246,1091.3625267106909,0.9162858129405884
SNMOT-158,750,666,722,699,722,443,279,223,0.6135734072022161,0.6651651651651652,0.7603511324497482,699,243,456,423,0.34763948497854075,0.36486486486486486,0.7392443078765547,131,854.1008142933666,248.66472764668288,249.00431533330507,1116.2313650653402,0.8958716188211245
SNMOT-165,750,747,748,734,748,336,412,411,0.44919786096256686,0.4497991967871486,0.7608270890646619,734,271,463,476,0.3692098092643052,0.3627844712182062,0.7518464975587118,41,681.9473727839965,48.85757539332068,49.16974698001771,742.2673078679994,1.347223553294138
