frame,n_detections_in_buffer,detection_density,median_y_in_buffer,y_range_in_buffer,frames_since_last_det,last_y,dy_last_pair,dy_per_frame_last_pair,dy_buffer_first_to_last
0,1,0.03333333333333333,508.91796875,0.0,0,508.91796875,,,
1,2,0.06666666666666667,508.9873962402344,0.13885498046875,0,509.05682373046875,0.13885498046875,0.13885498046875,0.13885498046875
2,3,0.1,509.05682373046875,0.19268798828125,0,509.11065673828125,0.0538330078125,0.0538330078125,0.19268798828125
3,4,0.13333333333333333,509.083740234375,0.3780517578125,0,509.2960205078125,0.18536376953125,0.18536376953125,0.3780517578125
4,5,0.16666666666666666,509.11065673828125,0.40667724609375,0,509.32464599609375,0.02862548828125,0.02862548828125,0.40667724609375
5,6,0.2,509.2033386230469,0.532958984375,0,509.450927734375,0.12628173828125,0.12628173828125,0.532958984375
6,7,0.23333333333333334,509.2960205078125,0.657958984375,0,509.575927734375,0.125,0.125,0.657958984375
7,8,0.26666666666666666,509.3103332519531,0.657958984375,0,509.54150390625,-0.034423828125,-0.034423828125,0.62353515625
8,9,0.3,509.32464599609375,0.657958984375,0,509.53399658203125,-0.00750732421875,-0.00750732421875,0.61602783203125
9,10,0.3333333333333333,509.3877868652344,0.657958984375,0,509.4666442871094,-0.067352294921875,-0.067352294921875,0.548675537109375
10,11,0.36666666666666664,509.450927734375,1.118438720703125,0,510.0364074707031,0.56976318359375,0.56976318359375,1.118438720703125
11,12,0.4,509.4587860107422,2.150970458984375,0,511.0689392089844,1.03253173828125,1.03253173828125,2.150970458984375
12,12,0.4,509.4587860107422,2.150970458984375,1,511.0689392089844,1.03253173828125,1.03253173828125,2.150970458984375
13,13,0.43333333333333335,509.4666442871094,5.70263671875,0,514.62060546875,3.551666259765625,1.7758331298828125,5.70263671875
14,13,0.43333333333333335,509.4666442871094,5.70263671875,1,514.62060546875,3.551666259765625,1.7758331298828125,5.70263671875
15,14,0.4666666666666667,509.4587860107422,8.824432373046875,0,505.7961730957031,-8.824432373046875,-4.4122161865234375,-3.121795654296875
16,15,0.5,509.450927734375,21.620513916015625,0,493.0000915527344,-12.79608154296875,-12.79608154296875,-15.917877197265625
17,16,0.5333333333333333,509.3877868652344,33.894775390625,0,480.725830078125,-12.274261474609375,-12.274261474609375,-28.192138671875
18,17,0.5666666666666667,509.32464599609375,40.1151123046875,0,474.5054931640625,-6.2203369140625,-6.2203369140625,-34.4124755859375
19,18,0.6,509.3103332519531,50.614715576171875,0,464.0058898925781,-10.499603271484375,-10.499603271484375,-44.912078857421875
20,19,0.6333333333333333,509.2960205078125,58.920806884765625,0,455.6997985839844,-8.30609130859375,-8.30609130859375,-53.218170166015625
21,20,0.6666666666666666,509.2033386230469,63.421630859375,0,451.198974609375,-4.500823974609375,-4.500823974609375,-57.718994140625
22,21,0.7,509.11065673828125,71.73773193359375,0,442.88287353515625,-8.31610107421875,-8.31610107421875,-66.03509521484375
23,22,0.7333333333333333,509.083740234375,78.7449951171875,0,435.8756103515625,-7.00726318359375,-7.00726318359375,-73.0423583984375
24,22,0.7333333333333333,509.083740234375,78.7449951171875,1,435.8756103515625,-7.00726318359375,-7.00726318359375,-73.0423583984375
25,23,0.7666666666666667,509.05682373046875,86.1917724609375,0,428.4288330078125,-7.44677734375,-3.723388671875,-80.4891357421875
26,24,0.8,508.9873962402344,90.36593627929688,0,424.2546691894531,-4.174163818359375,-4.174163818359375,-84.66329956054688
27,25,0.8333333333333334,508.91796875,91.6871337890625,0,422.9334716796875,-1.321197509765625,-1.321197509765625,-85.9844970703125
28,26,0.8666666666666667,507.35707092285156,95.08456420898438,0,419.5360412597656,-3.397430419921875,-3.397430419921875,-89.38192749023438
29,27,0.9,505.7961730957031,97.66238403320312,0,416.9582214355469,-2.57781982421875,-2.57781982421875,-91.95974731445312
30,27,0.9,493.0000915527344,98.6737060546875,0,415.9468994140625,-1.011322021484375,-1.011322021484375,-93.10992431640625
31,27,0.9,480.725830078125,98.6737060546875,0,416.68798828125,0.7410888671875,0.7410888671875,-92.42266845703125
32,26,0.8666666666666667,477.61566162109375,98.6737060546875,1,416.68798828125,0.7410888671875,0.7410888671875,-92.6080322265625
33,26,0.8666666666666667,469.2556915283203,98.6737060546875,0,419.09515380859375,2.40716552734375,1.203582763671875,-90.2294921875
34,26,0.8666666666666667,459.85284423828125,98.6737060546875,0,421.00927734375,1.91412353515625,1.91412353515625,-88.441650390625
35,26,0.8666666666666667,453.4493865966797,98.6737060546875,0,422.8142395019531,1.804962158203125,1.804962158203125,-86.76168823242188
36,26,0.8666666666666667,447.0409240722656,98.6737060546875,0,424.23052978515625,1.416290283203125,1.416290283203125,-85.31097412109375
37,26,0.8666666666666667,439.3792419433594,98.6737060546875,0,428.30987548828125,4.079345703125,4.079345703125,-81.22412109375
38,26,0.8666666666666667,434.83544921875,98.6737060546875,0,433.7952880859375,5.48541259765625,5.48541259765625,-75.67135620117188
39,26,0.8666666666666667,434.83544921875,98.6737060546875,0,437.45147705078125,3.65618896484375,3.65618896484375,-72.58493041992188
40,26,0.8666666666666667,434.83544921875,98.6737060546875,0,445.6877136230469,8.236236572265625,8.236236572265625,-65.3812255859375
41,26,0.8666666666666667,434.83544921875,98.6737060546875,0,454.49127197265625,8.803558349609375,8.803558349609375,-60.12933349609375
42,27,0.9,435.8756103515625,98.6737060546875,0,459.4093933105469,4.918121337890625,4.918121337890625,-55.211212158203125
43,27,0.9,435.8756103515625,89.84927368164062,0,471.10382080078125,11.694427490234375,11.694427490234375,-34.692352294921875
44,28,0.9333333333333333,436.6635437011719,89.84927368164062,0,483.5247497558594,12.420928955078125,12.420928955078125,-22.27142333984375
45,28,0.9333333333333333,436.6635437011719,77.05319213867188,0,489.89453125,6.369781494140625,6.369781494140625,-3.105560302734375
46,28,0.9333333333333333,436.6635437011719,87.57638549804688,0,503.5232849121094,13.628753662109375,13.628753662109375,22.797454833984375
47,28,0.9333333333333333,436.6635437011719,103.23919677734375,0,519.1860961914062,15.662811279296875,15.662811279296875,44.68060302734375
48,27,0.9,435.8756103515625,103.23919677734375,1,519.1860961914062,15.662811279296875,15.662811279296875,55.180206298828125
49,26,0.8666666666666667,434.83544921875,103.23919677734375,2,519.1860961914062,15.662811279296875,15.662811279296875,63.486297607421875
50,25,0.8333333333333334,433.7952880859375,103.23919677734375,3,519.1860961914062,15.662811279296875,15.662811279296875,67.98712158203125
51,24,0.8,431.112060546875,103.23919677734375,4,519.1860961914062,15.662811279296875,15.662811279296875,76.30322265625
52,23,0.7666666666666667,428.4288330078125,103.23919677734375,5,519.1860961914062,15.662811279296875,15.662811279296875,83.31048583984375
53,22,0.7333333333333333,428.3693542480469,103.23919677734375,6,519.1860961914062,15.662811279296875,15.662811279296875,90.75726318359375
54,23,0.7666666666666667,428.4288330078125,115.2493896484375,0,531.1962890625,12.01019287109375,1.7157418387276786,102.7674560546875
55,23,0.7666666666666667,433.7952880859375,115.2493896484375,0,530.0157470703125,-1.1805419921875,-1.1805419921875,105.76107788085938
56,23,0.7666666666666667,437.45147705078125,115.2493896484375,0,528.718017578125,-1.2977294921875,-1.2977294921875,105.7845458984375
57,23,0.7666666666666667,445.6877136230469,115.2493896484375,0,528.400146484375,-0.31787109375,-0.31787109375,108.86410522460938
58,23,0.7666666666666667,454.49127197265625,115.2493896484375,0,528.1094970703125,-0.2906494140625,-0.2906494140625,111.15127563476562
59,23,0.7666666666666667,459.4093933105469,115.2493896484375,0,527.6312255859375,-0.478271484375,-0.478271484375,111.684326171875
60,23,0.7666666666666667,471.10382080078125,114.50830078125,0,527.7354736328125,0.104248046875,0.104248046875,111.0474853515625
61,23,0.7666666666666667,483.5247497558594,112.10113525390625,0,529.487548828125,1.7520751953125,1.7520751953125,110.39239501953125
62,24,0.8,486.7096405029297,113.50341796875,0,532.5985717773438,3.11102294921875,3.11102294921875,113.50341796875
63,24,0.8,496.7089080810547,114.0050048828125,0,535.0142822265625,2.41571044921875,2.41571044921875,114.0050048828125
64,24,0.8,511.3546905517578,118.84695434570312,0,541.6611938476562,6.64691162109375,6.64691162109375,118.84695434570312
65,24,0.8,523.4086608886719,124.52716064453125,0,548.7576904296875,7.09649658203125,7.09649658203125,124.52716064453125
66,24,0.8,527.683349609375,123.9344482421875,0,552.2443237304688,3.48663330078125,3.48663330078125,123.9344482421875
67,24,0.8,527.9224853515625,121.720947265625,0,555.5162353515625,3.27191162109375,3.27191162109375,121.720947265625
68,24,0.8,528.2548217773438,121.11358642578125,0,558.5650634765625,3.048828125,3.048828125,121.11358642578125
69,24,0.8,528.55908203125,113.76162719726562,0,559.4493408203125,0.88427734375,0.88427734375,113.76162719726562
70,23,0.7666666666666667,528.718017578125,104.95806884765625,1,559.4493408203125,0.88427734375,0.88427734375,104.95806884765625
71,23,0.7666666666666667,529.487548828125,108.48928833007812,0,567.898681640625,8.4493408203125,4.22467041015625,108.48928833007812
72,23,0.7666666666666667,530.0157470703125,99.7689208984375,0,570.8727416992188,2.97406005859375,2.97406005859375,99.7689208984375
73,23,0.7666666666666667,531.1962890625,94.12051391601562,0,577.645263671875,6.77252197265625,6.77252197265625,94.12051391601562
74,23,0.7666666666666667,532.5985717773438,96.2420654296875,0,586.1365966796875,8.4913330078125,8.4913330078125,96.2420654296875
75,23,0.7666666666666667,535.0142822265625,87.23770141601562,0,590.760986328125,4.6243896484375,4.6243896484375,87.23770141601562
76,23,0.7666666666666667,541.6611938476562,82.22650146484375,0,601.41259765625,10.651611328125,10.651611328125,82.22650146484375
77,23,0.7666666666666667,548.7576904296875,86.9189453125,0,614.5501708984375,13.1375732421875,13.1375732421875,83.3538818359375
