frame,n_detections_in_buffer,detection_density,median_y_in_buffer,y_range_in_buffer,frames_since_last_det,last_y,dy_last_pair,dy_per_frame_last_pair,dy_buffer_first_to_last
173,30,1.0,745.0572204589844,12.4583740234375,0,743.2317504882812,-0.75238037109375,-0.75238037109375,-7.57073974609375
174,30,1.0,744.5417785644531,12.4583740234375,0,743.2620849609375,0.03033447265625,0.03033447265625,-4.7655029296875
175,30,1.0,744.3665771484375,12.4583740234375,0,744.3414306640625,1.079345703125,1.079345703125,-2.9005126953125
176,30,1.0,744.3665771484375,12.4583740234375,0,744.8736572265625,0.5322265625,0.5322265625,-1.30316162109375
177,30,1.0,744.1627807617188,12.4583740234375,0,743.9524536132812,-0.92120361328125,-0.92120361328125,-1.835205078125
178,30,1.0,743.9682922363281,12.4583740234375,0,743.1865234375,-0.76593017578125,-0.76593017578125,-3.219482421875
179,30,1.0,743.6072692871094,12.4583740234375,0,742.8781127929688,-0.30841064453125,-0.30841064453125,-4.48297119140625
180,30,1.0,743.2469177246094,12.4583740234375,0,742.3734130859375,-0.50469970703125,-0.50469970703125,-7.7137451171875
181,30,1.0,743.2091369628906,12.4583740234375,0,740.931640625,-1.4417724609375,-1.4417724609375,-10.88397216796875
182,30,1.0,743.180908203125,13.601318359375,0,739.4615478515625,-1.4700927734375,-1.4700927734375,-13.601318359375
183,30,1.0,743.0964965820312,13.39501953125,0,735.1525268554688,-4.30902099609375,-4.30902099609375,-12.6942138671875
184,30,1.0,742.9479064941406,14.77679443359375,0,733.770751953125,-1.38177490234375,-1.38177490234375,-12.12628173828125
185,30,1.0,742.6257629394531,15.66986083984375,0,732.877685546875,-0.89306640625,-0.89306640625,-10.1400146484375
186,30,1.0,742.3639526367188,17.58636474609375,0,730.961181640625,-1.91650390625,-1.91650390625,-9.6790771484375
187,30,1.0,742.3639526367188,19.25,0,729.2975463867188,-1.66363525390625,-1.66363525390625,-11.58953857421875
188,30,1.0,742.3639526367188,20.23992919921875,0,728.3076171875,-0.98992919921875,-0.98992919921875,-12.296875
189,30,1.0,742.3639526367188,21.10455322265625,0,727.4429931640625,-0.8646240234375,-0.8646240234375,-13.85552978515625
190,30,1.0,742.3639526367188,21.47564697265625,0,727.0718994140625,-0.37109375,-0.37109375,-14.681640625
191,30,1.0,742.3639526367188,21.89349365234375,0,726.654052734375,-0.4178466796875,-0.4178466796875,-18.7685546875
192,30,1.0,742.1688232421875,22.89459228515625,0,725.6529541015625,-1.0010986328125,-1.0010986328125,-22.89459228515625
193,30,1.0,741.8278198242188,23.3343505859375,0,724.1383056640625,-1.5146484375,-1.5146484375,-23.3343505859375
194,30,1.0,741.5793151855469,21.5,0,723.3736572265625,-0.7646484375,-0.7646484375,-21.01806640625
195,30,1.0,741.2088928222656,22.62359619140625,0,722.2500610351562,-1.12359619140625,-1.12359619140625,-20.10443115234375
196,30,1.0,740.1965942382812,25.5631103515625,0,719.310546875,-2.93951416015625,-2.93951416015625,-22.3619384765625
197,30,1.0,737.3070373535156,27.05792236328125,0,717.8157348632812,-1.49481201171875,-1.49481201171875,-23.67041015625
198,30,1.0,734.4616394042969,29.8597412109375,0,715.013916015625,-2.80181884765625,-2.80181884765625,-26.96923828125
199,30,1.0,733.32421875,31.72705078125,0,713.1466064453125,-1.8673095703125,-1.8673095703125,-30.0286865234375
200,30,1.0,731.91943359375,32.93060302734375,0,711.9430541992188,-1.20355224609375,-1.20355224609375,-32.748779296875
201,30,1.0,730.1293640136719,34.16827392578125,0,710.7053833007812,-1.2376708984375,-1.2376708984375,-33.27874755859375
202,30,1.0,728.8025817871094,35.47760009765625,0,709.3960571289062,-1.309326171875,-1.309326171875,-33.835693359375
203,30,1.0,727.8753051757812,35.9010009765625,0,708.97265625,-0.42340087890625,-0.42340087890625,-34.2894287109375
204,30,1.0,727.2574462890625,36.797119140625,0,708.0765380859375,-0.8961181640625,-0.8961181640625,-36.264892578125
205,30,1.0,726.8629760742188,38.0980224609375,0,706.775634765625,-1.3009033203125,-1.3009033203125,-38.0980224609375
206,30,1.0,726.1535034179688,38.0523681640625,0,705.9000854492188,-0.87554931640625,-0.87554931640625,-38.0523681640625
207,30,1.0,724.8956298828125,39.518798828125,0,703.667724609375,-2.23236083984375,-2.23236083984375,-39.518798828125
208,30,1.0,723.7559814453125,41.41375732421875,0,701.46435546875,-2.203369140625,-2.203369140625,-41.41375732421875
209,30,1.0,722.8118591308594,42.2747802734375,0,700.0986328125,-1.36572265625,-1.36572265625,-42.2747802734375
